"date","co_ppb","so2_ppb","noy_ppb","o3_ppb","no_ppb","no2_ppb","nox_ppb","stack_flag"
2022-06-17 20:00:00,109.303935,1.36660184388889,NA,32.8356660944444,0.0358918522091667,0.155891852209167,0.191783704418333,0
2022-06-17 21:00:00,108.936606666667,1.16766202972222,NA,31.9516193888889,0.466409721194444,0.586409721194444,1.05281944238889,0
2022-06-17 22:00:00,103.645061818182,1.21169192878788,NA,32.0776027575758,0.210081818636364,0.330081818636364,0.540163637272727,0
2022-06-17 23:00:00,102.11213,1.20266204194444,NA,32.4690720611111,0.696949673333333,0.816949673333333,1.51389934666667,0
2022-06-18 00:00:00,102.197963333333,1.16381943972222,NA,30.8109123055556,0.206039814980556,0.326039814980556,0.532079629961111,0
2022-06-18 01:00:00,103.278461666667,1.22210648888889,NA,28.9016257222222,-0.0167539350833333,0.103246064916667,0.0864921298333333,0
2022-06-18 02:00:00,102.568868333333,1.11874999666667,NA,30.9789773555556,-0.0337238888333333,0.0862761111666667,0.0525522223333333,0
2022-06-18 03:00:00,100.792923,1.08995369638889,NA,33.8189618611111,-0.0132770833611111,0.106722916638889,0.0934458332777778,0
2022-06-18 04:00:00,98.3967966666667,1.09493054277778,NA,38.85891125,-0.0133217591666667,0.106678240833333,0.0933564816666667,0
2022-06-18 05:00:00,95.5814793333333,1.02965278472222,NA,41.4629369222222,-0.00474962980555555,0.115250370194444,0.110500740388889,0
2022-06-18 06:00:00,93.1323693333333,1.22724538083333,NA,43.3841653888889,0.002952222219,0.122952222219,0.125904444438,0
2022-06-18 07:00:00,94.6062291666667,1.06821759111111,NA,41.3398926388889,-0.00354560184277778,0.116454398157222,0.112908796314444,0
2022-06-18 08:00:00,94.3031835,1.01493056305556,NA,37.3942133944444,-0.00080027783611111,0.119199722163889,0.118399444327778,0
2022-06-18 09:00:00,90.6166755,0.942523145833333,NA,35.9550329444444,-0.0068583334,0.1131416666,0.1062833332,0
2022-06-18 10:00:00,88.3685363333333,0.861342593888889,NA,35.1973533888889,0.00488888901694445,0.124888889016944,0.129777778033889,0
2022-06-18 11:00:00,84.4546783333333,0.746685184888889,NA,36.51051985,-0.0232465742222222,0.0967534257777778,0.0735068515555555,0
2022-06-18 12:00:00,81.0124985,0.762430555833333,NA,36.6494768333333,0.0136152777536111,0.133615277753611,0.147230555507222,0
2022-06-18 13:00:00,80.0208225,0.827708333055556,NA,34.2729563055556,0.0162578704288889,0.136257870428889,0.152515740857778,0
2022-06-18 14:00:00,79.4343668333333,0.781481481666667,NA,34.9236019944444,0.0160070832777778,0.136007083277778,0.152014166555556,0
2022-06-18 15:00:00,80.3129755555556,0.7004166675,NA,35.5398713055556,0.00484166664388889,0.124841666643889,0.129683333287778,0
2022-06-18 16:00:00,79.9293398333333,0.526087962777778,NA,35.3182426111111,-0.00230601849166667,0.117693981508333,0.115387963016667,0
2022-06-18 17:00:00,79.6704529411765,0.503654683333333,NA,34.747961496732,-0.00306018524183006,0.11693981475817,0.11387962951634,0
2022-06-18 18:00:00,79.7492863333333,0.815134258333333,NA,35.2748246888889,-0.00999842598888889,0.110001574011111,0.100003148022222,0
